sr_no,Country,Continent,Dominant Color,Red,Saffron,Yellow,Green,Blue,LiBlue,Black,White,Distinct Colors,Flag has
59,Micronesia,Oceania,LiBlue,0,0,0,0,0,97,0,2,2,Stars
60,France,Europe,Red,33,0,0,0,33,0,0,33,3,Vertical
61,Gabon,Africa,Yellow,0,0,33,33,0,33,0,0,3,Horizontal
62,United Kingdom,Europe,Red,37,0,0,0,28,0,0,33,3,Cross
63,Grenada,North America,Red,40,0,31,28,0,0,0,0,3,Plant
64,Georgia,Asia,White,35,0,0,0,0,0,0,64,2,Cross
65,Ghana,Africa,Red,33,0,30,33,0,0,2,0,4,Stars Horizontal
66,Gambia,Africa,Red,33,0,0,33,22,0,0,11,4,Horizontal
67,Guinea,Africa,Red,33,0,33,33,0,0,0,0,3,Vertical
68,Equatorial Guinea,Africa,Red,30,0,0,30,0,16,0,22,4,Triangle Horizontal
69,Greece,Europe,Blue,0,0,0,0,56,0,0,43,2,Horizontal Cross
70,Guatemala,North America,LiBlue,0,1,0,1,0,70,0,28,4,"Bird, Weapon Vertical"
71,Guinea-Bissau,Africa,Yellow,31,0,33,33,0,0,1,0,4,Horizontal
72,Guyana,South America,Green,19,0,16,49,0,0,5,7,5,Triangle Diagonal
73,Honduras,North America,LiBlue,0,0,0,0,0,67,0,32,2,Stars Horizontal
74,Croatia,Europe,Red,35,0,0,0,33,1,0,30,4,Crown Horizontal
75,Haiti,North America,Blue,47,0,0,1,48,0,0,2,4,Weapon Horizontal
76,Hungary,Europe,Red,33,0,0,33,0,0,0,33,3,Horizontal
77,Indonesia,Asia,Red,50,0,0,0,0,0,0,50,2,Horizontal
78,Ireland,Europe,Saffron,0,33,0,33,0,0,0,33,3,Vertical
79,Israel,Asia,White,0,0,0,0,0,35,0,64,2,Stars Horizontal
80,India,Asia,Saffron,0,33,0,33,2,0,0,31,4,Emblem Circle Horizontal
81,Iraq,Asia,White,31,0,0,2,0,0,32,33,4,Horizontal Mottos Text
82,Iran,Asia,White,31,0,0,29,0,0,0,38,3,Emblem Horizontal Mottos Text
83,Iceland,Europe,Blue,18,0,0,0,65,0,0,16,3,Cross
84,Italy,Europe,Red,33,0,0,33,0,0,0,33,3,Vertical
85,Jamaica,North America,Yellow,0,0,33,33,0,0,32,0,3,Triangle Diagonal Cross
86,Jordan,Asia,Green,24,0,0,28,0,0,27,19,4,"Stars, Triangle Horizontal"
87,Japan,Asia,White,18,0,0,0,0,0,0,81,2,Sun Circle
88,Kenya,Africa,Red,30,0,0,28,0,0,30,10,4,Weapon Horizontal
89,Kyrgyzstan,Asia,Red,92,0,6,0,0,0,0,0,2,Emblem
90,Cambodia,Asia,Blue,37,0,0,0,50,0,1,11,4,Landscape Horizontal
91,Kiribati,Oceania,Red,46,0,5,0,26,0,0,21,4,"Sun, Bird"
92,Comoros,Africa,Yellow,15,0,21,21,0,21,0,18,5,"Crescent, Triangle"
93,Saint Kitts,North America,Black,28,0,11,28,0,0,29,2,5,
94,South Korea,Asia,Red,55,0,0,0,33,0,0,10,3,Emblem Circle
