subject,label,lat,lon,date
http://www.wikidata.org/entity/Q1275200,Battle of the Sound,55.75,12.75,8-11-1658
http://www.wikidata.org/entity/Q1280119,Battle of the Ebro,41.16388889,0.475,25-07-1938
http://www.wikidata.org/entity/Q1286106,Fao Landing,29.928,48.4661,06-11-1914
http://www.wikidata.org/entity/Q1286274,Battle of Schuinshoogte,-27.61647222,29.87802778,8-2-1881
http://www.wikidata.org/entity/Q12880416,,37.054952,21.705991,19-07-1944
http://www.wikidata.org/entity/Q12880420,,37.21666667,21.96666667,13-09-1944
http://www.wikidata.org/entity/Q12880426,,38.42931944,22.66728333,1-1-1821
http://www.wikidata.org/entity/Q12880430,Battle of the Trench,37.50833333,22.375,1-1-1821
http://www.wikidata.org/entity/Q12880434,,37.96666667,23.61666667,4-3-1827
http://www.wikidata.org/entity/Q12880442,,40.571266,22.987582,1-1-1821
http://www.wikidata.org/entity/Q12880443,,38.13086,21.94911,19-9-1827
http://www.wikidata.org/entity/Q12880457,,37.383333,22.05,1-1-1821
http://www.wikidata.org/entity/Q12880462,Battle of Kakosalesi,38.26666667,23.7,1-1-1821
http://www.wikidata.org/entity/Q12880464,,38.56666667,23.21666667,1-1-1821
http://www.wikidata.org/entity/Q12880472,,38.50888889,22.68916667,1-1-1821
http://www.wikidata.org/entity/Q12883575,,38.39,23,1-1-1821
http://www.wikidata.org/entity/Q12883995,,37.971421,23.726166,18-5-1827
http://www.wikidata.org/entity/Q1288821,Battle of Abu Klea,16.98333333,33.3,17-1-1885
http://www.wikidata.org/entity/Q1300742,Battle of Flodden,55.62693,-2.1753,19-9-1513
http://www.wikidata.org/entity/Q1302680,Battle of Qurna,31.0167,47.4333,03-12-1914
http://www.wikidata.org/entity/Q130847,Battle of Verdun,49.20805556,5.421944444,21-02-1916
http://www.wikidata.org/entity/Q130861,Battle of Kursk,51.501111,36.051389,05-07-1943
http://www.wikidata.org/entity/Q1310755,Battle of Rancagua,-34.16666667,-70.75,2-10-1814
http://www.wikidata.org/entity/Q131386,Battle of Alesia,47.53722222,4.50027778,1-1--57
http://www.wikidata.org/entity/Q1314054,Battle of the Herrings,48.0667,1.73333,1-1-1337
http://www.wikidata.org/entity/Q1315700,Battle of Concepción,29.39055556,-98.49027778,28-10-1835
http://www.wikidata.org/entity/Q131969,Battle of Thermopylae,38.8,22.53333333,1-1--479
http://www.wikidata.org/entity/Q1320675,Battle of Havrincourt,50.11111111,3.086111111,08-08-1918
http://www.wikidata.org/entity/Q13218257,,16.76,-2.638888889,21-04-2013
http://www.wikidata.org/entity/Q132568,Battle of the Somme,50.0155,2.69742,01-07-1916
http://www.wikidata.org/entity/Q1326527,Battle of Cowpens,35.13683333,-81.816,17-1-1781
http://www.wikidata.org/entity/Q1327790,Battle of Chickamauga,34.9176,-85.2606,20-9-1863
http://www.wikidata.org/entity/Q1328499,Battle of Brihuega,40.76666667,-2.86666667,8-12-1710
http://www.wikidata.org/entity/Q1328537,Battle of Ourique,37.65,-8.225,25-7-1139
http://www.wikidata.org/entity/Q1332237,Battle of Overloon,51.57027778,5.95833333,01-09-1939
http://www.wikidata.org/entity/Q1337059,Battle of Tewkesbury,51.98638889,-2.161388889,4-5-1471
http://www.wikidata.org/entity/Q133977,Battle of Caravaggio,45.49777778,9.643055556,15-9-1448
http://www.wikidata.org/entity/Q1339928,Battle of Evesham,52.1058726,-1.9445372,4-8-1265
http://www.wikidata.org/entity/Q13409360,Battle of al-Qusayr,34.51194444,36.57638889,19-05-2013
http://www.wikidata.org/entity/Q134114,Battle of Austerlitz,49.13333333,16.76666667,18-5-1803
http://www.wikidata.org/entity/Q1341972,Battle of Aljubarrota,39.63805556,-8.838055556,14-8-1385
http://www.wikidata.org/entity/Q1345169,Battle of the Sambre,50.4667,4.86667,04-11-1918
http://www.wikidata.org/entity/Q1346666,,48.0944,13.8775,1-11-1805
http://www.wikidata.org/entity/Q1347209,Battle of Praga,52.21666667,21.03333333,4-11-1794
http://www.wikidata.org/entity/Q1353773,Battle of the Great Plains,37.05794444,10.06259722,1-1--217
http://www.wikidata.org/entity/Q1354080,Battle of Muret,43.46111111,1.32666667,1-1-1209
http://www.wikidata.org/entity/Q135468,Battle of Haw's Shop,37.676,-77.3118,12-4-1861
http://www.wikidata.org/entity/Q1355206,Battle of Tyndaris,38.14555556,15.03972222,1-1--263
http://www.wikidata.org/entity/Q1355391,Battle of Appomattox Court House,37.377778,-78.794444,9-4-1865
http://www.wikidata.org/entity/Q1358032,Battle of Sandepu,41.78333333,123.4333333,08-02-1904
http://www.wikidata.org/entity/Q1359641,Battle of Tolentino,43.21361111,13.29111111,3-5-1815
http://www.wikidata.org/entity/Q1361210,Battle of Christmas Island,-10.48333333,105.6333333,31-03-1942
http://www.wikidata.org/entity/Q1361990,Battle of Lacolle Mills,45.081309,-73.372633,20-11-1812
http://www.wikidata.org/entity/Q1362014,Battle of the Silarus,40.483333,14.933333,1-1--217
http://www.wikidata.org/entity/Q1362016,Battle of Beneventum (214 BC),41.1333,14.7833,1-1--217
http://www.wikidata.org/entity/Q1362021,Siege of Corinth,34.934,-88.522,29-4-1862
http://www.wikidata.org/entity/Q1362035,Battle of Herdonia (212 BC),41.31666667,15.63333333,1-1--217
http://www.wikidata.org/entity/Q1362053,Battle of Mantinea,37.6,22.4,1-1--430
http://www.wikidata.org/entity/Q1362188,Battle of Talikota,16.47330556,76.31183333,26-1-1565
http://www.wikidata.org/entity/Q13622762,Liberation of Martigues,43.40527778,5.0475,20-08-1944
http://www.wikidata.org/entity/Q1362294,Battle of Drewry's Bluff,37.4211,-77.4229,15-5-1862
http://www.wikidata.org/entity/Q13628984,Battle of Kalamata,37.01666667,22.1,1-1-1821
http://www.wikidata.org/entity/Q136344,Battle of Köse Dağ,40.25,39.55,26-6-1243
http://www.wikidata.org/entity/Q1363925,Battle of Port Arthur,38.78005,121.25782,08-02-1904
http://www.wikidata.org/entity/Q1366089,Battle of Fort Henry,36.5186,-88.0391,6-2-1862
http://www.wikidata.org/entity/Q1369629,Battle of Fraga,41.51666944,0.333330556,17-7-1134
http://www.wikidata.org/entity/Q1375813,Battle of Oriskany,43.17722222,-75.36944444,6-8-1777
http://www.wikidata.org/entity/Q1378270,Battle of Jerusalem,31.78333333,35.21666667,17-11-1917
http://www.wikidata.org/entity/Q1379845,Kravica attack,44.21666667,19.2,06-04-1992
http://www.wikidata.org/entity/Q1387925,Battle of Round Mountain,36.13,-96.2869,12-4-1861
http://www.wikidata.org/entity/Q1387983,Battle of Memphis,35.1291,-90.1558,12-4-1861
http://www.wikidata.org/entity/Q1388058,Battle of Magersfontein,-28.96666667,24.7,11-12-1899
http://www.wikidata.org/entity/Q1390639,Battle of Frenchman's Creek,42.94227,-78.92645,18-6-1812
http://www.wikidata.org/entity/Q1392,Battle of Nieuwpoort,51.15583333,2.738333333,2-7-1600
http://www.wikidata.org/entity/Q1392699,Battle of Blood River,-28.10527778,30.54166667,16-12-1838
