Address,Country,Coordinates,Address found
"Rabindra Sarobar Stadium, Kolkata",in,"22.5114085,88.35225729999999","5, Sarat Chatterjee Ave, Dhakuria, Rabindra Sarobar, Kalighat, Kolkata, West Bengal 700045, India"
"Rajarshi Shahu Stadium, Kolhapur",in,"16.6931455,74.23077169999999","Shahu Stadium, Mangalwar Peth, Manganwlar Peth, Kolhapur, Maharashtra 416002, India"
"Rajendra Stadium, Siwan",in,"26.2149962,84.3543982","Dr Rajendra Stadium Rd, Shanti Nagar, Siwan, Bihar 841226, India"
"Rajiv Gandhi Stadium, Aizawl",in,"23.7139304,92.7355709","PP7P+H6G, Mualpui, Salem Veng, Aizawl, Mizoram 796005, India"
"Ravishankar Shukla Stadium, Jabalpur",in,"23.1646012,79.9271405","Wright Town, Jabalpur, Madhya Pradesh 482002, India"
"Satindra Mohan Dev Stadium, Silchar",in,"24.8332708,92.7789054","Silchar, Assam, India"
"Shree Shiv Chhatrapati Sports Complex, Pune",in,"18.5749684,73.7608019","Baner Mahalunge Road, Mahalunge, National Games Park, Balewadi, Pune, Maharashtra 411045, India"
"Silli Stadium, Silli",in,-,-
"Sports Stadium, Jalalabad",in,"34.4283529,70.45780189999999","Jalalabad, Afghanistan"
"Sree Kanteerava Stadium, Bangalore",in,"12.9696087,77.59349279999999","23, Fort Rd, near by kanteerava stadium, Nunegundlapalli, Sampangi Rama Nagara, Bengaluru, Karnataka 560027, India"
"Sri Venkateswara University Ground, Tirupati",in,"13.6264396,79.4037462","JCG3+HFH, Anantapur - Tirupati Hwy, S V UNIVERSITY, Tirupati, Andhra Pradesh 517502, India"
"SSB Ranidanga Stadium, Golaghat",in,"26.5242155,93.9604871","GXF6+M5Q, Golaghat, Assam 785621, India"
"Sumant Moolgaokar Stadium, Jamshedpur",in,"22.7760525,86.25363159999999","Q7G3+CFC, Telco Colony, Jamshedpur, Jharkhand 831004, India"
"Tau Devi Lal Stadium, Gurgaon",in,"28.4429499,77.0358187","C2VP+58G, Medicity, Islampur Colony, Sector 38, Gurugram, Haryana 122018, India"
"Thangmeiband Athletic Union Ground, Thangmeiband",in,"24.822474,93.94034839999999","Thangmeiband Athletic Union Ground, DM College Rd, Dewlahland, Imphal, Manipur 795001, India"
"Tilak Maidan Stadium, Vasco da Gama",in,"15.4007268,73.8152556","Vaddem, New Vaddem, Vaddem, Mormugao, Goa 403802, India"
"TRC Turf Ground, Srinagar",in,"34.0742033,74.8275295","Chowk, 3RFH+M2J, Residency Road, Regal Chowk, Press Colony, Srinagar, Jammu and Kashmir 190001"
"University Stadium, Thiruvananthapuram",in,"8.5078265,76.9511963","GV Raja Pavilion, Palayam PMG Road, University of Kerala Senate House Campus, Palayam, Thiruvananthapuram, Kerala 695033, India"
"VO Chidambaram Park Stadium, Erode",in,"11.350539,77.7198547","9P29+6W9, VOC Park Approach Road, Thirunagar Colony, Tamil Nadu 638001, India"
"Victory Playground, Hyderabad",in,"17.3809897,78.4901311","RAW combat sports kachiguda, Nimboliadda, Kachiguda, Hyderabad, Telangana 500027, India"
"Vivekananda Yubabharati Krirangan, Kolkata metropolitan area",in,"22.5690538,88.40904429999999","JB Block, Sector III, Bidhannagar, Kolkata, West Bengal 700098, India"
"Yashwant Stadium, Nagpur",in,"21.1391569,79.0825114","Yashwant Stadium, Dhantoli, Nagpur, Maharashtra 440012, India"
